ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
pregnant,Swindells,1,1,3,9,6,0,1,3,6,0,0.7,7,10,cult_other,10,who
pregnant,Yoon,2,2,8,41,33,0,2,8,33,0,0.813953488372093,35,43,cult_other,5,who
all,Affolabi,55,117,2153,2652,499,62,55,2153,499,62,0.200072228241242,554,2769,cult_other,4,bmi
all,Ahmad,10,51,483,524,41,41,10,483,41,41,0.088695652173913,51,575,cult_other,9,bmi
all,Al Darraji,2,15,103,110,7,13,2,103,7,13,0.072,9,125,cult_other,12,bmi
all,Balcha,83,134,396,667,271,51,83,396,271,51,0.441947565543071,354,801,cult,17,bmi
all,Bjerrum,25,38,241,352,111,13,25,241,111,13,0.348717948717949,136,390,cult_other,10,bmi
all,Gersh,1,8,331,375,44,7,1,331,44,7,0.117493472584856,45,383,cult_other,2,bmi
all,Hanifa,23,64,210,285,75,41,23,210,75,41,0.28080229226361,98,349,cult_other,18,bmi
all,Kemper,3,15,79,86,7,12,3,79,7,12,0.099009900990099,10,101,cult_other,15,bmi
all,Kerkhoff,15,95,402,427,25,80,15,402,25,80,0.0766283524904215,40,522,cult_other,18,bmi
all,Kufa,6,23,354,380,26,17,6,354,26,17,0.0794044665012407,32,403,cult,6,bmi
all,LaCourse,0,8,274,284,10,8,0,274,10,8,0.0342465753424658,10,292,cult_other,3,bmi
all,Modi,34,75,450,559,109,41,34,450,109,41,0.225552050473186,143,634,cult_other,12,bmi
all,Rangaka,14,126,1276,1303,27,112,14,1276,27,112,0.0286913925822253,41,1429,cult_other,9,bmi
all,Reeve,19,99,645,704,59,80,19,645,59,80,0.0971357409713574,78,803,cult_other,12,bmi
all,Shapiro,9,42,362,383,21,33,9,362,21,33,0.0705882352941176,30,425,cult_other,10,bmi
all,Swindells,12,56,562,663,101,44,12,562,101,44,0.157162726008345,113,719,cult_other,8,bmi
all,Thit,13,30,359,431,72,17,13,359,72,17,0.184381778741866,85,461,cult_other,7,bmi
all,Yoon,102,242,1070,1281,211,140,102,1070,211,140,0.205515430072226,313,1523,cult_other,16,bmi
art,Affolabi,15,44,1482,1750,268,29,15,1482,268,29,0.157748049052397,283,1794,cult_other,2,bmi
art,Ahmad,3,20,356,381,25,17,3,356,25,17,0.0698254364089776,28,401,cult_other,5,bmi
art,Gersh,1,8,327,371,44,7,1,327,44,7,0.118733509234829,45,379,cult_other,2,bmi
art,Kufa,2,8,189,200,11,6,2,189,11,6,0.0625,13,208,cult,4,bmi
art,LaCourse,0,5,149,154,5,5,0,149,5,5,0.0314465408805031,5,159,cult_other,3,bmi
art,Rangaka,2,42,720,733,13,40,2,720,13,40,0.0193548387096774,15,775,cult_other,5,bmi
art,Thit,9,23,266,315,49,14,9,266,49,14,0.171597633136095,58,338,cult_other,7,bmi
noart,Affolabi,40,73,671,902,231,33,40,671,231,33,0.277948717948718,271,975,cult_other,7,bmi
noart,Ahmad,7,31,127,143,16,24,7,127,16,24,0.132183908045977,23,174,cult_other,18,bmi
noart,Balcha,83,134,396,667,271,51,83,396,271,51,0.441947565543071,354,801,cult,17,bmi
noart,Bjerrum,25,38,241,352,111,13,25,241,111,13,0.348717948717949,136,390,cult_other,10,bmi
noart,Gersh,0,0,1,1,0,0,0,1,0,0,0,0,1,cult_other,0,bmi
noart,Hanifa,23,64,210,285,75,41,23,210,75,41,0.28080229226361,98,349,cult_other,18,bmi
noart,Kemper,3,15,79,86,7,12,3,79,7,12,0.099009900990099,10,101,cult_other,15,bmi
noart,Kerkhoff,15,95,402,427,25,80,15,402,25,80,0.0766283524904215,40,522,cult_other,18,bmi
noart,Kufa,4,15,165,180,15,11,4,165,15,11,0.0974358974358974,19,195,cult,8,bmi
noart,LaCourse,0,3,125,130,5,3,0,125,5,3,0.037593984962406,5,133,cult_other,2,bmi
noart,Modi,34,75,450,559,109,41,34,450,109,41,0.225552050473186,143,634,cult_other,12,bmi
noart,Rangaka,12,84,556,570,14,72,12,556,14,72,0.0397553516819572,26,654,cult_other,13,bmi
noart,Reeve,19,99,645,704,59,80,19,645,59,80,0.0971357409713574,78,803,cult_other,12,bmi
noart,Shapiro,9,42,362,383,21,33,9,362,21,33,0.0705882352941176,30,425,cult_other,10,bmi
noart,Swindells,12,56,562,663,101,44,12,562,101,44,0.157162726008345,113,719,cult_other,8,bmi
noart,Thit,4,7,93,116,23,3,4,93,23,3,0.219512195121951,27,123,cult_other,6,bmi
noart,Yoon,102,242,1070,1281,211,140,102,1070,211,140,0.205515430072226,313,1523,cult_other,16,bmi
cd4_less_200,Affolabi,32,62,431,627,196,30,32,431,196,30,0.330914368650218,228,689,cult_other,9,bmi
cd4_less_200,Ahmad,7,23,125,143,18,16,7,125,18,16,0.150602409638554,25,166,cult_other,14,bmi
cd4_less_200,Al Darraji,2,7,28,30,2,5,2,28,2,5,0.108108108108108,4,37,cult_other,19,bmi
cd4_less_200,Balcha,54,81,147,298,151,27,54,147,151,27,0.54089709762533,205,379,cult,21,bmi
cd4_less_200,Bjerrum,19,26,126,213,87,7,19,126,87,7,0.443514644351464,106,239,cult_other,11,bmi
cd4_less_200,Gersh,1,2,35,41,6,1,1,35,6,1,0.162790697674419,7,43,cult_other,5,bmi
cd4_less_200,Hanifa,21,60,201,270,69,39,21,201,69,39,0.272727272727273,90,330,cult_other,18,bmi
cd4_less_200,Kemper,3,12,46,53,7,9,3,46,7,9,0.153846153846154,10,65,cult_other,18,bmi
cd4_less_200,Kerkhoff,12,68,243,264,21,56,12,243,21,56,0.0993975903614458,33,332,cult_other,20,bmi
cd4_less_200,Kufa,6,19,152,169,17,13,6,152,17,13,0.122340425531915,23,188,cult,10,bmi
cd4_less_200,LaCourse,0,0,16,17,1,0,0,16,1,0,0.0588235294117647,1,17,cult_other,0,bmi
cd4_less_200,Modi,22,42,103,141,38,20,22,103,38,20,0.327868852459016,60,183,cult_other,23,bmi
cd4_less_200,Rangaka,12,92,565,581,16,80,12,565,16,80,0.0416047548291233,28,673,cult_other,14,bmi
cd4_less_200,Reeve,9,45,138,161,23,36,9,138,23,36,0.155339805825243,32,206,cult_other,22,bmi
cd4_less_200,Shapiro,6,25,93,102,9,19,6,93,9,19,0.118110236220472,15,127,cult_other,20,bmi
cd4_less_200,Swindells,7,27,145,192,47,20,7,145,47,20,0.246575342465753,54,219,cult_other,12,bmi
cd4_less_200,Thit,7,18,111,140,29,11,7,111,29,11,0.227848101265823,36,158,cult_other,11,bmi
cd4_less_200,Yoon,89,194,562,724,162,105,89,562,162,105,0.273420479302832,251,918,cult_other,21,bmi
cd4_high_200,Affolabi,18,49,1673,1961,288,31,18,1673,288,31,0.152238805970149,306,2010,cult_other,2,bmi
cd4_high_200,Ahmad,3,28,358,381,23,25,3,358,23,25,0.0635696821515893,26,409,cult_other,7,bmi
cd4_high_200,Al Darraji,0,8,75,80,5,8,0,75,5,8,0.0568181818181818,5,88,cult_other,9,bmi
cd4_high_200,Balcha,29,53,247,364,117,24,29,247,117,24,0.350119904076739,146,417,cult,13,bmi
cd4_high_200,Bjerrum,5,11,110,132,22,6,5,110,22,6,0.188811188811189,27,143,cult_other,8,bmi
cd4_high_200,Gersh,0,4,237,267,30,4,0,237,30,4,0.11070110701107,30,271,cult_other,1,bmi
cd4_high_200,Hanifa,1,3,8,14,6,2,1,8,6,2,0.411764705882353,7,17,cult_other,18,bmi
cd4_high_200,Kemper,0,3,33,33,0,3,0,33,0,3,0,0,36,cult_other,8,bmi
cd4_high_200,Kerkhoff,3,26,158,162,4,23,3,158,4,23,0.0372340425531915,7,188,cult_other,14,bmi
cd4_high_200,Kufa,0,4,202,211,9,4,0,202,9,4,0.0418604651162791,9,215,cult,2,bmi
cd4_high_200,LaCourse,0,7,211,218,7,7,0,211,7,7,0.0311111111111111,7,225,cult_other,3,bmi
cd4_high_200,Modi,9,28,328,389,61,19,9,328,61,19,0.167865707434053,70,417,cult_other,7,bmi
cd4_high_200,Rangaka,2,34,711,722,11,32,2,711,11,32,0.0171957671957672,13,756,cult_other,4,bmi
cd4_high_200,Reeve,8,44,445,472,27,36,8,445,27,36,0.0678294573643411,35,516,cult_other,9,bmi
cd4_high_200,Shapiro,3,15,258,269,11,12,3,258,11,12,0.0492957746478873,14,284,cult_other,5,bmi
cd4_high_200,Swindells,5,29,414,468,54,24,5,414,54,24,0.118712273641851,59,497,cult_other,6,bmi
cd4_high_200,Thit,5,11,248,291,43,6,5,248,43,6,0.158940397350993,48,302,cult_other,4,bmi
cd4_high_200,Yoon,13,48,508,557,49,35,13,508,49,35,0.102479338842975,62,605,cult_other,8,bmi
pregnant,Bjerrum,0,1,21,22,1,1,0,21,1,1,0.0434782608695652,1,23,cult_other,4,bmi
pregnant,Kerkhoff,0,0,20,20,0,0,0,20,0,0,0,0,20,cult_other,0,bmi
pregnant,Kufa,0,1,9,9,0,1,0,9,0,1,0,0,10,cult,10,bmi
pregnant,LaCourse,0,8,274,284,10,8,0,274,10,8,0.0342465753424658,10,292,cult_other,3,bmi
pregnant,Modi,0,3,70,71,1,3,0,70,1,3,0.0135135135135135,1,74,cult_other,4,bmi
pregnant,Swindells,0,1,7,9,2,1,0,7,2,1,0.2,2,10,cult_other,10,bmi
pregnant,Yoon,2,2,39,41,2,0,2,39,2,0,0.0930232558139535,4,43,cult_other,5,bmi
all,Al Darraji,1,15,97,110,13,14,1,97,13,14,0.112,14,125,cult_other,12,cough_2w
all,Bjerrum,25,40,249,354,105,15,25,249,105,15,0.32994923857868,130,394,cult_other,10,cough_2w
all,Gersh,0,8,371,379,8,8,0,371,8,8,0.020671834625323,8,387,cult_other,2,cough_2w
all,Hanifa,33,64,217,287,70,31,33,217,70,31,0.293447293447293,103,351,cult_other,18,cough_2w
all,Hoffmann,7,35,1322,1369,47,28,7,1322,47,28,0.0384615384615385,54,1404,cult_other,2,cough_2w
all,Kemper,9,15,69,88,19,6,9,69,19,6,0.271844660194175,28,103,cult_other,15,cough_2w
all,Kerkhoff,23,95,344,428,84,72,23,344,84,72,0.204588910133843,107,523,cult_other,18,cough_2w
all,Kufa,18,24,239,372,133,6,18,239,133,6,0.381313131313131,151,396,cult,6,cough_2w
all,LaCourse,2,8,272,284,12,6,2,272,12,6,0.0479452054794521,14,292,cult_other,3,cough_2w
all,Mbu,49,131,630,809,179,82,49,630,179,82,0.242553191489362,228,940,cult_other,14,cough_2w
all,Modi,32,78,515,621,106,46,32,515,106,46,0.197424892703863,138,699,cult_other,11,cough_2w
all,Nguyen,10,28,274,369,95,18,10,274,95,18,0.26448362720403,105,397,cult_other,7,cough_2w
all,Rangaka,26,126,1247,1303,56,100,26,1247,56,100,0.0573827851644507,82,1429,cult_other,9,cough_2w
all,Reeve,42,100,583,707,124,58,42,583,124,58,0.205700123915737,166,807,cult_other,12,cough_2w
all,Shapiro,28,42,280,381,101,14,28,280,101,14,0.304964539007092,129,423,cult_other,10,cough_2w
all,Swindells,34,56,473,668,195,22,34,473,195,22,0.316298342541436,229,724,cult_other,8,cough_2w
all,Yoon,131,242,895,1283,388,111,131,895,388,111,0.340327868852459,519,1525,cult_other,16,cough_2w
art,Gersh,0,8,367,375,8,8,0,367,8,8,0.02088772845953,8,383,cult_other,2,cough_2w
art,Hoffmann,0,0,2,2,0,0,0,2,0,0,0,0,2,cult_other,0,cough_2w
art,Kufa,7,8,120,189,69,1,7,120,69,1,0.385786802030457,76,197,cult,4,cough_2w
art,LaCourse,1,5,147,154,7,4,1,147,7,4,0.050314465408805,8,159,cult_other,3,cough_2w
art,Nguyen,6,15,159,215,56,9,6,159,56,9,0.269565217391304,62,230,cult_other,7,cough_2w
art,Rangaka,2,42,722,733,11,40,2,722,11,40,0.0167741935483871,13,775,cult_other,5,cough_2w
noart,Bjerrum,25,40,249,354,105,15,25,249,105,15,0.32994923857868,130,394,cult_other,10,cough_2w
noart,Gersh,0,0,1,1,0,0,0,1,0,0,0,0,1,cult_other,0,cough_2w
noart,Hanifa,33,64,217,287,70,31,33,217,70,31,0.293447293447293,103,351,cult_other,18,cough_2w
noart,Hoffmann,7,35,1320,1367,47,28,7,1320,47,28,0.0385164051355207,54,1402,cult_other,2,cough_2w
