author,n1,r1,p1,n2,r2,p2,id
Mbu,344,81,0.23546511627907,344,81,0.23546511627907,cd4_less_200
Modi,197,40,0.203045685279188,197,44,0.223350253807107,cd4_less_200
Nguyen,87,12,0.137931034482759,87,12,0.137931034482759,cd4_less_200
Rangaka,673,92,0.136701337295691,673,92,0.136701337295691,cd4_less_200
Reeve,204,42,0.205882352941176,208,46,0.221153846153846,cd4_less_200
Shapiro,127,25,0.196850393700787,127,25,0.196850393700787,cd4_less_200
Swindells,222,27,0.121621621621622,222,27,0.121621621621622,cd4_less_200
Thit,158,5,0.0316455696202532,158,18,0.113924050632911,cd4_less_200
Yoon,920,187,0.203260869565217,920,194,0.210869565217391,cd4_less_200
Affolabi,2003,32,0.0159760359460809,2030,49,0.0241379310344828,cd4_high_200
Ahmad,430,30,0.0697674418604651,430,30,0.0697674418604651,cd4_high_200
Al Darraji,88,8,0.0909090909090909,88,8,0.0909090909090909,cd4_high_200
Balcha,425,46,0.108235294117647,426,54,0.126760563380282,cd4_high_200
Bjerrum,144,10,0.0694444444444445,144,11,0.0763888888888889,cd4_high_200
Gersh,273,3,0.010989010989011,273,4,0.0146520146520147,cd4_high_200
Hanifa,18,3,0.166666666666667,18,3,0.166666666666667,cd4_high_200
Hoffmann,1198,22,0.0183639398998331,1198,22,0.0183639398998331,cd4_high_200
Kemper,38,2,0.0526315789473684,38,3,0.0789473684210526,cd4_high_200
Kerkhoff,189,24,0.126984126984127,189,26,0.137566137566138,cd4_high_200
Kufa,221,4,0.0180995475113122,221,4,0.0180995475113122,cd4_high_200
LaCourse,225,6,0.0266666666666667,225,7,0.0311111111111111,cd4_high_200
Mbu,596,50,0.0838926174496644,596,50,0.0838926174496644,cd4_high_200
Modi,486,30,0.0617283950617284,486,33,0.0679012345679012,cd4_high_200
Nguyen,310,16,0.0516129032258065,310,16,0.0516129032258065,cd4_high_200
Rangaka,756,34,0.044973544973545,756,34,0.044973544973545,cd4_high_200
Reeve,511,41,0.0802348336594912,518,44,0.0849420849420849,cd4_high_200
Shapiro,284,15,0.0528169014084507,284,15,0.0528169014084507,cd4_high_200
Swindells,501,29,0.0578842315369262,501,29,0.0578842315369262,cd4_high_200
Thit,304,4,0.0131578947368421,304,11,0.0361842105263158,cd4_high_200
Yoon,605,45,0.0743801652892562,605,48,0.0793388429752066,cd4_high_200
Ahmad,611,57,0.0932896890343699,611,57,0.0932896890343699,all_history_tb
Al Darraji,125,15,0.12,125,15,0.12,all_history_tb
Balcha,797,123,0.154328732747804,800,136,0.17,all_history_tb
Bjerrum,392,37,0.0943877551020408,392,40,0.102040816326531,all_history_tb
Gersh,384,4,0.0104166666666667,384,7,0.0182291666666667,all_history_tb
Hanifa,351,64,0.182336182336182,351,64,0.182336182336182,all_history_tb
Hoffmann,1401,35,0.0249821556031406,1401,35,0.0249821556031406,all_history_tb
Kemper,102,12,0.117647058823529,103,15,0.145631067961165,all_history_tb
