ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
cd4_high_100,Kerkhoff,48,53,56,331,275,5,48,56,275,5,0.841145833333333,323,384,cult_other,14,who
cd4_high_100,Kufa,11,11,52,308,256,0,11,52,256,0,0.836990595611285,267,319,cult,3,who
cd4_high_100,LaCourse,3,6,185,232,47,3,3,185,47,3,0.210084033613445,50,238,cult_other,3,who
cd4_high_100,Mbu,66,75,115,650,535,9,66,115,535,9,0.828965517241379,601,725,cult_other,10,who
cd4_high_100,Modi,25,43,284,520,236,18,25,284,236,18,0.463587921847247,261,563,cult_other,8,who
cd4_high_100,Nguyen,11,24,224,346,122,13,11,224,122,13,0.359459459459459,133,370,cult_other,6,who
cd4_high_100,Rangaka,33,94,1032,1153,121,61,33,1032,121,61,0.123496391339214,154,1247,cult_other,8,who
cd4_high_100,Reeve,31,53,282,556,274,22,31,282,274,22,0.500821018062397,305,609,cult_other,9,who
cd4_high_100,Shapiro,21,24,134,335,201,3,21,134,201,3,0.618384401114206,222,359,cult_other,7,who
cd4_high_100,Swindells,35,40,223,583,360,5,35,223,360,5,0.634028892455859,395,623,cult_other,6,who
cd4_high_100,Thit,3,5,218,383,165,2,3,218,165,2,0.43298969072165,168,388,cult_other,1,who
cd4_high_100,Yoon,106,115,150,889,739,9,106,150,739,9,0.841633466135458,845,1004,cult_other,11,who
cd4_less_200,Affolabi,38,48,355,642,287,10,38,355,287,10,0.471014492753623,325,690,cult_other,7,who
cd4_less_200,Ahmad,23,27,56,154,98,4,23,56,98,4,0.668508287292818,121,181,cult_other,15,who
cd4_less_200,Al Darraji,4,7,9,30,21,3,4,9,21,3,0.675675675675676,25,37,cult_other,19,who
cd4_less_200,Balcha,75,78,53,301,248,3,75,53,248,3,0.852242744063325,323,379,cult,21,who
cd4_less_200,Bjerrum,25,26,11,216,205,1,25,11,205,1,0.950413223140496,230,242,cult_other,11,who
cd4_less_200,Gersh,0,2,38,42,4,2,0,38,4,2,0.0909090909090909,4,44,cult_other,5,who
cd4_less_200,Hanifa,58,60,16,271,255,2,58,16,255,2,0.945619335347432,313,331,cult_other,18,who
cd4_less_200,Hoffmann,5,13,126,166,40,8,5,126,40,8,0.251396648044693,45,179,cult_other,7,who
cd4_less_200,Kemper,9,10,16,54,38,1,9,16,38,1,0.734375,47,64,cult_other,16,who
cd4_less_200,Kerkhoff,58,64,37,267,230,6,58,37,230,6,0.870090634441088,288,331,cult_other,19,who
cd4_less_200,Kufa,20,20,19,174,155,0,20,19,155,0,0.902061855670103,175,194,cult,10,who
cd4_less_200,LaCourse,0,0,16,17,1,0,0,16,1,0,0.0588235294117647,1,17,cult_other,0,who
cd4_less_200,Mbu,79,81,12,263,251,2,79,12,251,2,0.959302325581395,330,344,cult_other,24,who
cd4_less_200,Modi,32,37,38,156,118,5,32,38,118,5,0.77720207253886,150,193,cult_other,19,who
cd4_less_200,Nguyen,7,12,44,75,31,5,7,44,31,5,0.436781609195402,38,87,cult_other,14,who
cd4_less_200,Rangaka,40,92,481,581,100,52,40,481,100,52,0.208023774145617,140,673,cult_other,14,who
cd4_less_200,Reeve,36,42,55,162,107,6,36,55,107,6,0.700980392156863,143,204,cult_other,21,who
cd4_less_200,Shapiro,23,25,23,102,79,2,23,23,79,2,0.803149606299213,102,127,cult_other,20,who
cd4_less_200,Swindells,23,27,46,195,149,4,23,46,149,4,0.774774774774775,172,222,cult_other,12,who
cd4_less_200,Thit,5,5,58,153,95,0,5,58,95,0,0.632911392405063,100,158,cult_other,3,who
cd4_less_200,Yoon,185,187,81,733,652,2,185,81,652,2,0.909782608695652,837,920,cult_other,20,who
cd4_high_200,Affolabi,18,32,1586,1971,385,14,18,1586,385,14,0.201198202695956,403,2003,cult_other,2,who
cd4_high_200,Ahmad,22,30,212,400,188,8,22,212,188,8,0.488372093023256,210,430,cult_other,7,who
cd4_high_200,Al Darraji,7,8,27,80,53,1,7,27,53,1,0.681818181818182,60,88,cult_other,9,who
cd4_high_200,Balcha,40,46,96,379,283,6,40,96,283,6,0.76,323,425,cult,11,who
cd4_high_200,Bjerrum,9,10,22,134,112,1,9,22,112,1,0.840277777777778,121,144,cult_other,7,who
cd4_high_200,Gersh,0,3,240,270,30,3,0,240,30,3,0.10989010989011,30,273,cult_other,1,who
cd4_high_200,Hanifa,2,3,1,15,14,1,2,1,14,1,0.888888888888889,16,18,cult_other,17,who
cd4_high_200,Hoffmann,5,22,1005,1176,171,17,5,1005,171,17,0.146911519198664,176,1198,cult_other,2,who
cd4_high_200,Kemper,2,2,24,36,12,0,2,24,12,0,0.368421052631579,14,38,cult_other,5,who
cd4_high_200,Kerkhoff,24,24,28,165,137,0,24,28,137,0,0.851851851851852,161,189,cult_other,13,who
cd4_high_200,Kufa,4,4,41,217,176,0,4,41,176,0,0.81447963800905,180,221,cult,2,who
cd4_high_200,LaCourse,3,6,173,219,46,3,3,173,46,3,0.217777777777778,49,225,cult_other,3,who
cd4_high_200,Mbu,42,50,106,546,440,8,42,106,440,8,0.808724832214765,482,596,cult_other,8,who
cd4_high_200,Modi,15,30,269,449,180,15,15,269,180,15,0.407098121085595,195,479,cult_other,6,who
cd4_high_200,Nguyen,7,16,192,294,102,9,7,192,102,9,0.351612903225806,109,310,cult_other,5,who
cd4_high_200,Rangaka,10,34,666,722,56,24,10,666,56,24,0.0873015873015873,66,756,cult_other,4,who
cd4_high_200,Reeve,24,41,245,470,225,17,24,245,225,17,0.487279843444227,249,511,cult_other,8,who
cd4_high_200,Shapiro,13,15,117,269,152,2,13,117,152,2,0.580985915492958,165,284,cult_other,5,who
cd4_high_200,Swindells,26,29,189,472,283,3,26,189,283,3,0.616766467065868,309,501,cult_other,6,who
cd4_high_200,Thit,2,4,180,300,120,2,2,180,120,2,0.401315789473684,122,304,cult_other,1,who
cd4_high_200,Yoon,38,45,100,560,460,7,38,100,460,7,0.823140495867769,498,605,cult_other,7,who
history_tb,Ahmad,7,8,99,227,128,1,7,99,128,1,0.574468085106383,135,235,cult_other,3,who
history_tb,Al Darraji,2,3,15,33,18,1,2,15,18,1,0.555555555555556,20,36,cult_other,8,who
history_tb,Balcha,3,3,5,48,43,0,3,5,43,0,0.901960784313725,46,51,cult,6,who
history_tb,Bjerrum,2,2,1,21,20,0,2,1,20,0,0.956521739130435,22,23,cult_other,9,who
history_tb,Gersh,0,2,46,56,10,2,0,46,10,2,0.172413793103448,10,58,cult_other,3,who
history_tb,Hanifa,7,7,5,92,87,0,7,5,87,0,0.949494949494949,94,99,cult_other,7,who
history_tb,Hoffmann,1,1,84,109,25,0,1,84,25,0,0.236363636363636,26,110,cult_other,1,who
history_tb,Kemper,0,0,1,3,2,0,0,1,2,0,0.666666666666667,2,3,cult_other,0,who
history_tb,Kerkhoff,17,19,16,122,106,2,17,16,106,2,0.872340425531915,123,141,cult_other,13,who
history_tb,Kufa,4,4,14,105,91,0,4,14,91,0,0.871559633027523,95,109,cult,4,who
history_tb,LaCourse,0,1,15,24,9,1,0,15,9,1,0.36,9,25,cult_other,4,who
history_tb,Nguyen,9,15,103,163,60,6,9,103,60,6,0.387640449438202,69,178,cult_other,8,who
history_tb,Rangaka,12,36,463,516,53,24,12,463,53,24,0.117753623188406,65,552,cult_other,7,who
history_tb,Reeve,9,13,39,101,62,4,9,39,62,4,0.62280701754386,71,114,cult_other,11,who
history_tb,Shapiro,2,2,6,17,11,0,2,6,11,0,0.68421052631579,13,19,cult_other,11,who
history_tb,Swindells,6,7,8,46,38,1,6,8,38,1,0.830188679245283,44,53,cult_other,13,who
history_tb,Thit,0,0,43,94,51,0,0,43,51,0,0.542553191489362,51,94,cult_other,0,who
history_tb,Yoon,8,8,8,46,38,0,8,8,38,0,0.851851851851852,46,54,cult_other,15,who
pregnant,Bjerrum,1,1,10,23,13,0,1,10,13,0,0.583333333333333,14,24,cult_other,4,who
pregnant,Hoffmann,10,35,1152,1369,217,25,10,1152,217,25,0.161680911680912,227,1404,cult_other,2,who
pregnant,Kerkhoff,0,0,11,20,9,0,0,11,9,0,0.45,9,20,cult_other,0,who
pregnant,Kufa,1,1,5,10,5,0,1,5,5,0,0.545454545454545,6,11,cult,9,who
pregnant,LaCourse,3,7,231,285,54,4,3,231,54,4,0.195205479452055,57,292,cult_other,2,who
pregnant,Modi,2,5,95,126,31,3,2,95,31,3,0.251908396946565,33,131,cult_other,4,who
pregnant,Swindells,1,1,3,9,6,0,1,3,6,0,0.7,7,10,cult_other,10,who
pregnant,Yoon,2,2,8,41,33,0,2,8,33,0,0.813953488372093,35,43,cult_other,5,who
smoker,Affolabi,1,2,59,99,40,1,1,59,40,1,0.405940594059406,41,101,cult_other,2,who
smoker,Al Darraji,10,14,36,103,67,4,10,36,67,4,0.658119658119658,77,117,cult_other,12,who
smoker,Balcha,9,9,4,25,21,0,9,4,21,0,0.882352941176471,30,34,cult,26,who
smoker,Bjerrum,2,2,0,9,9,0,2,0,9,0,1,11,11,cult_other,18,who
smoker,Gersh,0,0,8,11,3,0,0,8,3,0,0.272727272727273,3,11,cult_other,0,who
smoker,Hanifa,9,9,0,31,31,0,9,0,31,0,1,40,40,cult_other,22,who
smoker,Hoffmann,0,2,25,38,13,2,0,25,13,2,0.325,13,40,cult_other,5,who
smoker,Kemper,8,9,25,54,29,1,8,25,29,1,0.587301587301587,37,63,cult_other,14,who
smoker,Kerkhoff,17,18,8,104,96,1,17,8,96,1,0.926229508196721,113,122,cult_other,15,who
smoker,Nguyen,2,2,22,40,18,0,2,22,18,0,0.476190476190476,20,42,cult_other,5,who
smoker,Reeve,29,41,94,250,156,12,29,94,156,12,0.63573883161512,185,291,cult_other,14,who
smoker,Shapiro,9,10,26,95,69,1,9,26,69,1,0.742857142857143,78,105,cult_other,10,who
smoker,Thit,5,5,64,132,68,0,5,64,68,0,0.532846715328467,73,137,cult_other,4,who
smoker,Yoon,13,13,4,57,53,0,13,4,53,0,0.942857142857143,66,70,cult_other,19,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
,,,,,,,,,,,,,,,,,who
